file,category,text
words/word-01.mp3,word,الأَدَبُ
words/word-02.mp3,word,الأُمَمُ المُتَّحِدَةُ
words/word-03.mp3,word,جِنْسِيَّةٌ
words/word-04.mp3,word,مِصْرِيٌّ. مِصْرِيَّةٌ
words/word-05.mp3,word,أَدْرُسُ
words/word-06.mp3,word,أَسْكُنُ
words/word-07.mp3,word,سَنَةٌ
words/word-08.mp3,word,عُمْرٌ
words/word-09.mp3,word,عُنْوَانٌ
words/word-10.mp3,word,مِنْطَقَةٌ
words/word-11.mp3,word,وَالِدٌ
words/word-12.mp3,word,وَالِدِي
words/word-13.mp3,word,وَالِدَةٌ
words/word-14.mp3,word,وَالِدَتِي
words/word-15.mp3,word,أَعْمَلُ
words/word-16.mp3,word,يَعْمَلُ
words/word-17.mp3,word,تَعْمَلُ
words/word-18.mp3,word,مَنْ؟
words/word-19.mp3,word,أَيُّ؟ أَيَّةُ؟
words/word-20.mp3,word,صَحِيحٌ؟
words/word-21.mp3,word,وَاللهِ؟
words/word-22.mp3,word,نَفْسُ
sentences/sentence-01.mp3,sentence,أَدْرُسُ الأَدَبَ العَرَبِيَّ.
sentences/sentence-02.mp3,sentence,يَعْمَلُ وَالِدِي فِي الأُمَمِ المُتَّحِدَةِ.
sentences/sentence-03.mp3,sentence,مَا جِنْسِيَّتُكَ؟
sentences/sentence-04.mp3,sentence,أَنَا طَالِبَةٌ مِصْرِيَّةٌ.
sentences/sentence-05.mp3,sentence,أَدْرُسُ اللُّغَةَ العَرَبِيَّةَ.
sentences/sentence-06.mp3,sentence,أَسْكُنُ فِي مَدِينَةِ مَكْنَاسَ.
sentences/sentence-07.mp3,sentence,أَدْرُسُ العَرَبِيَّةَ مُنْذُ سَنَةٍ.
sentences/sentence-08.mp3,sentence,كَمْ عُمْرُكَ؟
sentences/sentence-09.mp3,sentence,مَا عُنْوَانُكَ؟
sentences/sentence-10.mp3,sentence,أَسْكُنُ فِي مِنْطَقَةٍ هَادِئَةٍ.
sentences/sentence-11.mp3,sentence,وَالِدُ أَحْمَدَ مُدَرِّسٌ.
sentences/sentence-12.mp3,sentence,وَالِدِي يَعْمَلُ فِي جَامِعَةٍ.
